Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
TripAdvisor,TRIP,reports,Communication Services,Interactive Media & Services,"Newton, Massachusetts",21/12/2011,1526520,
Twenty-First Century Fox Class A,FOXA,reports,Communication Services,Movies & Entertainment,"New York, New York",01/07/2013,1308161,
Twenty-First Century Fox Class B,FOX,reports,Communication Services,Movies & Entertainment,"New York, New York",18/09/2015,1308161,
Tyson Foods,TSN,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493,
UDR Inc,UDR,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",07/03/2016,74208,
Ulta Beauty,ULTA,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",18/04/2016,1403568,
U.S. Bancorp,USB,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968
Under Armour Class A,UAA,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",25/03/2016,1336917,
Under Armour Class C,UA,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",01/05/2014,1336917,
Union Pacific,UNP,reports,Industrials,Railroads,"Omaha, Nebraska",,100885,
United Continental Holdings,UAL,reports,Industrials,Airlines,"Chicago, Illinois",03/09/2015,100517,
United Health Group Inc.,UNH,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",01/07/1994,731766,
United Parcel Service,UPS,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",22/07/2002,1090727,
"United Rentals, Inc.",URI,reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",20/09/2014,1067701,
United Technologies,UTX,reports,Industrials,Aerospace & Defense,"Hartford, Connecticut",,101829,
"Universal Health Services, Inc.",UHS,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",20/09/2014,352915,
Unum Group,UNM,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",01/03/1994,5513,
V.F. Corp.,VFC,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",30/06/1979,103379,
Valero Energy,VLO,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980
Varian Medical Systems,VAR,reports,Health Care,Health Care Equipment,"Palo Alto, California",12/02/2007,203527,
Ventas Inc,VTR,reports,Real Estate,Health Care REITs,"Chicago, Illinois",04/03/2009,740260,
Verisign Inc.,VRSN,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",01/02/2006,1014473,
Verisk Analytics,VRSK,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",08/10/2015,1442145,
Verizon Communications,VZ,reports,Communication Services,Integrated Telecommunication Services,"New York, New York",30/11/1983,732712,
Vertex Pharmaceuticals Inc,VRTX,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",23/09/2013,875320,
Viacom Inc.,VIAB,reports,Communication Services,Movies & Entertainment,"New York, New York",,1339947,
Visa Inc.,V,reports,Information Technology,IT Services,"San Francisco, California",21/12/2009,1403161,
Vornado Realty Trust,VNO,reports,Real Estate,Office REITs,"New York, New York",,899689,
Vulcan Materials,VMC,reports,Materials,Construction Materials,"Birmingham, Alabama",30/06/1999,1396009,
Wabtec Corporation,WAB,reports,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",27/02/2019,943452,
Walmart,WMT,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",31/08/1982,104169,
Walgreens Boots Alliance,WBA,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",31/12/1979,1618921,
The Walt Disney Company,DIS,reports,Communication Services,Movies & Entertainment,"Burbank, California",30/06/1976,1001039,
Waste Management Inc.,WM,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968
Waters Corporation,WAT,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958
Wec Energy Group Inc,WEC,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",31/10/2008,783325,
WellCare,WCG,reports,Health Care,Managed Health Care,"Tampa, Florida",1985,1279363,
Wells Fargo,WFC,reports,Financials,Diversified Banks,"San Francisco, California",30/06/1976,72971,
Welltower Inc.,WELL,reports,Real Estate,Health Care REITs,"Toledo, Ohio",30/01/2009,766704,
Western Digital,WDC,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",01/07/2009,106040,
Western Union Co,WU,reports,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135,1851
WestRock,WRK,reports,Materials,Paper Packaging,"Richmond, Virginia",,1636023,
Weyerhaeuser,WY,reports,Real Estate,Specialized REITS,"Federal Way, Washington",,106535,
Whirlpool Corp.,WHR,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911
Williams Cos.,WMB,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",31/03/1975,107263,
Willis Towers Watson,WLTW,reports,Financials,Insurance Brokers,"London, United Kingdom",05/01/2016,1140536,
Wynn Resorts Ltd,WYNN,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",14/11/2008,1174922,
Xcel Energy Inc,XEL,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903,1909
Xerox,XRX,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772,1906
Xilinx,XLNX,reports,Information Technology,Semiconductors,"San Jose, California",08/11/1999,743988,
Xylem Inc.,XYL,reports,Industrials,Industrial Machinery,"White Plains, New York",01/11/2011,1524472,
Yum! Brands Inc,YUM,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",06/10/1997,1041061,
Zimmer Biomet Holdings,ZBH,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",07/08/2001,1136869,
Zions Bancorp,ZION,reports,Financials,Regional Banks,"Salt Lake City, Utah",22/06/2001,109380,
Zoetis,ZTS,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",21/06/2013,1555280,
